check_num,description,pg_sql,pg_value,chatbot_question,chatbot_number,match,tolerance_pct,chatbot_answer
1,total deals,SELECT COUNT(*)::int FROM deals WHERE (deleted=false OR deleted IS NULL),175,how many deals are there,175.0,MATCH,2,**175 deals:**  | Deal Name | Stage | Amount (USD) | Close Date | Company | Owner | | --- | --- | --- | --- | --- | --- | | Ketul Trivedi |  TEST | Contract Under Review | 0.13 | 2026-05-29T18:30:00.0
2,total invoices,SELECT COUNT(*)::int FROM invoices WHERE (deleted=false OR deleted IS NULL),171,how many invoices do we have,171.0,MATCH,2,"**Invoices — 171 total (170 overdue), Total: USD 422,501.04:**  | Invoice # | Status | Amount (USD) | Due Date | Company | Overdue Status | | --- | --- | --- | --- | --- | --- | | ELSN/2025/116 | draf"
3,total contacts,SELECT COUNT(*)::int FROM contacts WHERE (deleted=false OR deleted IS NULL),159,total number of contacts,159.0,MATCH,2,**159 contacts:**  | Name | Email | Job Title | Status | Stage | | --- | --- | --- | --- | --- | | Jordan Mullins | karant@yopmail.com | — | — | — | | Ketul | ketultrivedi5@gmail.com |  |  |  | | 4332
4,total companies,SELECT COUNT(*)::int FROM companies WHERE (deleted=false OR deleted IS NULL),139,how many companies are there,146.0,MISMATCH,5,## Executive Summary  There are **146** companies in total. This number represents the overall scope of the company dataset. No further analysis is required to provide additional insights. The company
5,pending tasks,SELECT COUNT(*)::int FROM createtasks WHERE status='Pending' AND (deleted=false OR deleted IS NULL),70,how many pending tasks,70.0,MATCH,2,"**70 pending tasks:**  | Task | Status | Priority | Due Date | Assigned To | | --- | --- | --- | --- | --- | | New Lead Follow-up: Schedule Meeting, Intro Email & CRM Update | Pending | Medium | 2026-"
6,all tasks,SELECT COUNT(*)::int FROM createtasks WHERE (deleted=false OR deleted IS NULL),73,count all tasks,73.0,MATCH,2,"**73 tasks:**  | Task | Status | Priority | Due Date | Assigned To | | --- | --- | --- | --- | --- | | New Lead Follow-up: Schedule Meeting, Intro Email & CRM Update | Pending | Medium | 2026-05-12T06"
7,pending invoices,"SELECT COUNT(*)::int FROM invoices WHERE payment_status NOT IN ('paid','cancelled') AND (deleted=false OR deleted IS NUL",102,how many pending invoices,102.0,MATCH,2,"**Pending Invoices — 102 total (102 overdue), Total: USD 150,016.63:**  | Invoice # | Status | Amount (USD) | Due Date | Company | Overdue Status | | --- | --- | --- | --- | --- | --- | | ELSN/2025/11"
8,paid invoices,SELECT COUNT(*)::int FROM invoices WHERE payment_status='paid' AND (deleted=false OR deleted IS NULL),37,how many paid invoices,37.0,MATCH,2,"**Paid Invoices — 37 total (36 overdue), Total: USD 121,744.19:**  | Invoice # | Status | Amount (USD) | Due Date | Company | Overdue Status | | --- | --- | --- | --- | --- | --- | | ELSN/2025/95 | pa"
9,won deals,SELECT COUNT(*)::int FROM deals WHERE stage='Closed Won' AND (deleted=false OR deleted IS NULL),26,how many closed won deals,26.0,MATCH,2,"## Executive Summary  There are **26 Closed Won deals** in the system. The total value of these deals is not explicitly stated, but the largest single deal is worth **$3609.85**. This suggests that wh"
10,open deals,"SELECT COUNT(*)::int FROM deals WHERE stage NOT IN ('Closed Won','Closed Lost') AND (deleted=false OR deleted IS NULL)",117,how many open deals,117.0,MATCH,2,**117 open deals:**  | Deal Name | Stage | Amount (USD) | Close Date | Company | Owner | | --- | --- | --- | --- | --- | --- | | Ketul Trivedi |  TEST | Contract Under Review | 0.13 | 2026-05-29T18:30
